"","GA shape","Exposure window","true30","MR30","abs30","rel30 (%)","true50","MR50","abs50","rel50 (%)"
"1","Time-fixed","Uniform",1.2,1.2,0,0,2,2,0,0
"2","Time-fixed","Recent",1.99,1.99,0,-0.23,2,2,0,0
"3","Time-fixed","Critical",1.99,1.99,0,0.12,2,2,0,0
"4","Time-fixed","Increasing",0.72,0.72,0,0,2,2,0,0
"5","FTO","Uniform",1.2,0.92,-0.28,-23.33,2,3.93,1.93,96.5
"6","FTO","Recent",1.99,1.95,-0.04,-2.24,2,3.03,1.03,51.5
"7","FTO","Critical",1.99,2.14,0.15,7.67,2,6,4,200
"8","FTO","Increasing",0.72,0.66,-0.06,-8.33,2,3.93,1.93,96.5
"9","Increasing","Uniform",1.2,0.61,-0.59,-49.17,2,1.01,-0.99,-49.5
"10","Increasing","Recent",1.99,1.48,-0.51,-25.8,2,1.68,-0.32,-16
"11","Increasing","Critical",1.99,1.66,-0.33,-16.48,2,1.01,-0.99,-49.5
"12","Increasing","Increasing",0.72,0.48,-0.24,-33.33,2,1.34,-0.66,-33
"13","Decreasing","Uniform",1.2,1.9,0.7,58.33,2,11,9,450
"14","Decreasing","Recent",1.99,2.61,0.62,30.85,2,4.87,2.87,143.5
"15","Decreasing","Critical",1.99,2.38,0.39,19.74,2,11,9,450
"16","Decreasing","Increasing",0.72,1,0.28,38.89,2,8,6,300
